id,detska,osnovno,gimnaziq
125,521,726,252
263,305,1050,0
288,2700,6878,0
138,1470,3251,0
139,666,1573,0
248,175,416,0
107,2085,4720,0
130,792,1680,0
87,1479,3114,83
57,657,1732,0
77,530,1093,0
78,166,328,0
251,404,923,40
216,289,864,0
103,916,2601,0
302,8719,18278,4449
239,378,719,74
149,867,2528,0
102,92,189,61
109,1081,1670,304
213,1112,1954,225
191,225,482,0
195,822,2908,55
88,447,835,0
45,676,1083,191
182,453,999,91
250,343,844,0
189,320,653,94
83,782,1449,129
192,556,896,101
278,110,217,72
279,11591,26553,847
231,146,239,67
193,289,862,80
203,350,793,73
225,760,1861,0
252,425,1384,82
137,728,2126,166
5,317,744,31
286,2751,6587,134
82,1488,3170,80
105,275,825,65
144,139,326,0
86,404,867,0
181,588,1689,0
177,315,1196,89
128,1107,2524,0
132,505,1314,54
140,62,185,64
220,195,558,31
246,27,106,0
262,193,326,0
285,2003,5382,21
322,48,67,0
47,183,447,95
204,111,268,35
324,24,69,0
136,74,181,0
256,140,375,83
154,65,116,0
261,222,516,0
143,813,2251,0
280,2800,7449,851
50,870,2300,0
240,262,568,98
84,772,1570,247
176,280,496,0
64,315,800,125
164,233,566,0
173,101,345,0
282,1801,3848,0
61,226,526,291
111,1153,2506,0
104,287,765,0
183,805,1589,222
171,521,1060,0
91,2831,7898,243
188,716,1573,0
40,551,1305,163
178,175,443,0
27,701,1472,0
215,142,319,74
52,326,734,81
257,315,589,0
9,632,1807,0
63,588,1662,0
290,2648,6849,38
10,511,1239,0
274,299,755,0
227,203,488,0
180,45,75,0
112,1366,3570,176
198,99,283,0
296,1827,4215,294
321,36,119,0
211,88,99,0
212,206,368,0
325,0,28,0
237,73,152,75
115,166,304,93
281,1409,4470,13
14,508,1687,0
223,704,1729,96
190,1036,2333,184
210,206,602,0
67,270,696,41
16,538,1280,88
271,300,655,0
275,169,385,0
17,318,810,15
122,242,770,151
73,22,78,0
133,755,2627,0
70,138,385,0
298,1731,4851,0
174,47,120,0
326,145,246,0
186,198,379,0
123,219,609,0
75,314,647,58
163,1259,4110,155
169,120,355,0
292,3648,10440,133
101,761,1793,0
187,587,1590,0
90,562,1407,0
224,704,1864,163
167,123,272,98
120,123,421,60
217,53,89,0
323,21,15,0
301,3053,6575,170
162,565,1364,0
159,103,291,0
19,404,614,0
233,289,828,0
172,602,1418,0
205,354,1003,0
200,189,575,0
241,616,1341,0
48,240,599,0
294,4527,10641,583
269,175,548,0
168,889,2241,0
110,528,1148,0
155,2194,5017,0
160,152,542,0
54,309,622,0
124,1429,4068,0
208,312,826,0
127,68,161,0
114,1050,2016,47
100,261,323,0
291,11377,29622,1365
93,728,1819,0
156,941,1647,322
218,1081,1439,0
221,511,1174,0
267,757,1520,0
199,270,491,0
76,319,636,153
260,250,374,0
134,353,847,0
161,329,854,125
146,882,2296,0
226,642,1375,0
22,310,683,0
287,1960,4555,124
179,223,619,0
249,215,472,0
214,101,415,0
184,404,1097,0
244,462,896,129
206,216,630,0
201,179,315,0
284,5137,12168,0
66,319,683,0
147,113,279,0
270,100,160,0
34,326,827,0
150,1077,2617,62
258,208,531,0
283,1402,3626,197
268,140,348,82
148,484,1156,154
194,540,1507,0
95,1171,3711,0
295,4266,11669,285
243,510,1572,0
196,106,290,16
219,119,237,0
106,342,875,0
259,309,674,128
24,361,997,82
68,318,920,0
25,271,508,0
62,343,996,0
303,1577,3486,20
108,265,454,60
37,45708,88197,1469
265,63,108,0
153,378,602,0
92,1242,2611,0
116,118,431,0
232,197,373,95
222,199,435,0
55,138,291,0
118,831,1616,0
126,411,1337,176
234,215,487,0
152,609,1898,0
228,76,184,67
170,424,1070,0
117,608,1123,0
230,66,113,0
166,336,742,0
238,257,1071,83
89,1146,3141,286
39,529,1170,0
236,274,664,0
266,37,84,0
273,91,108,0
276,196,516,0
158,155,500,79
175,422,948,183
129,2477,6252,0
142,377,854,0
209,212,497,74
247,40,118,0
165,502,1150,130
157,692,1586,0
300,5049,12594,972
135,604,1942,0
277,119,492,0
42,674,1898,0
207,224,514,0
79,913,2195,0
289,1971,4990,257
80,1529,4089,0
141,188,483,76
202,329,809,92
96,24,70,36
145,163,332,61
29,689,1761,307
131,206,754,53
30,187,446,81
245,257,837,70
151,783,2071,0
299,3492,7983,330
32,330,870,0
51,250,613,0
59,414,1066,0
58,442,1250,0
121,273,723,0
69,246,732,91
85,595,1655,167
197,216,516,0
229,121,401,0
293,3090,8302,0
98,87,273,0
99,430,1315,108
72,418,1160,0
185,524,1100,0
297,2490,7018,288
